host,model,total duration (s),load duration (ms),prompt eval count (s),prompt eval duration (ms),prompt eval rate (tokens / s),eval count (tokens),eval duration (s),eval rate (tokens / s)
mac-mini,hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q4_K_M,7.117846,1185.742250,26,92.357000,281.52,336,5.838705,57.55
mac-mini,nexusraven:13b,14.780389,2848.797208,27,264.281999,102.16,191,11.665651,16.37
mac-mini,llama3-groq-tool-use:8b,7.777789,1699.719417,26,166.763000,155.91,162,5.910217,27.41
mac-mini,llama3.1:8b,14.771405,1945.608625,26,174.478000,149.02,334,12.650149,26.40
mac-mini,phi4:14b,19.399665,3155.742125,26,298.435000,87.12,226,15.943520,14.18
mac-mini,deepseek-coder-v2:16b,7.742968,3141.765042,25,128.745000,194.18,321,4.471127,71.79
mac-mini,mistral-small:24b,41.798249,4227.563416,177,1104.431000,160.26,329,36.462603,9.02
mac-mini,gemma4:26b,33.294057,6901.474000,32,276.558000,115.71,1068,26.114485,40.90
mac-mini,qwen3-coder:30b,11.272757,6458.216125,24,195.957000,122.48,252,4.617408,54.58
mac-mini,qwen3:30b,40.720852,5951.291584,26,183.142000,141.97,1831,34.584856,52.94
