host,model,total duration (s),load duration (ms),prompt eval count (tokens),prompt eval duration (ms),prompt eval rate (tokens/s),eval count (tokens),eval duration (s),eval rate (tokens/s)
"host01","hf.co/bartowski/Llama-3.2-3B-Instruct-GGUF:Q4_K_M",8.542341042,1182.0955000,26,87.367,297.60,424,7.271956,58.31
"host01","nexusraven:13b",18.389895333,3365.885083000,27,268.917,100.40,237,14.753483,16.06
"host01","llama3-groq-tool-use:8b",10.396168458,1699.541708000,26,164.811,157.76,234,8.530757,27.43
"host01","llama3.1:8b",19.132509042,1943.820375000,26,172.973,150.31,449,17.014836,26.39
"host01","phi4:14b",22.096567625,2897.860708000,26,297.173,87.49,269,18.899959,14.23
"host01","deepseek-coder-v2:16b",4.641334958,3662.447000,25,127.721,195.74,63,.848937,74.21
"host01","mistral-small:24b",35.213471625,4486.379584000,177,1105.091000,160.17,268,29.619462,9.05
"host01","gemma4:26b",31.601552125,6909.508333000,32,275.926,115.97,1005,24.414976,41.16
"host01","qwen3-coder:30b",10.089506042,6198.285584000,24,170.21,141.00,204,3.719687,54.84
"host01","qwen3:30b",38.659156958,5955.457458000,26,207.979,125.01,1734,32.494736,53.36
